Title,Publisher,Valuable,Count,IDnum
Clack!,Looping Games,FALSE,1,1989
1942 Uss Yorktown,Looping Games,FALSE,2,3378
1987 Channel Tunnel,Looping Games,FALSE,2,3379
"3 In 1 Collector Set: Get Bit, Hold Your Breath!, Walk The Plank",Mayday Games,FALSE,1,3115
3 Laws Of Robotics,Floodgate Games,FALSE,1,3324
5 Minute Marvel,Spin Master,FALSE,1,3191
51st State: Master Set,Portal Games,FALSE,1,1724
5211,Next Move Games,FALSE,1,3290
6 Nimmt!,Mayfair Games,FALSE,1,1291
7 Wonders,Repos Production,TRUE,7,2873
